word,score,postags
in,0.4704870557820835,"s, n, r"
i,0.6500948885606022,"s, n"
on,0.8299094544059316,"a, r"
all,1.2201720062242811,"s, a, r"
one,1.2701779840218366,"s, n"
just,1.310247719997592,"s, a, r"
like,1.3300668766687054,"s, a, n, v"
about,1.3403262785189616,"s, r"
up,1.3508339156354674,"s, a, v, r"
out,1.3597887582883936,"a, r, s, n, v"
more,1.3801645176601116,"a, n, r"
no,1.3897519816658372,"a, n, r"
new,1.489579997691106,"s, a, r"
some,1.5413429130455774,"s, a, r"
other,1.5786319977650252,"s, a"
good,1.6194260687941495,"s, a, n, r"
only,1.6194260687941495,"s, r"
after,1.6294102897007507,"s, r"
first,1.6294102897007507,"s, a, n, r"
two,1.639629454882437,"s, n"
over,1.6608187539523749,"s, n, r"
any,1.6718141382538385,"s, r"
then,1.6718141382538385,"s, n, r"
back,1.6986073148417746,"a, r, s, n, v"
well,1.7106162223147898,"a, r, s, n, v"
go,1.7106162223147898,"a, n, v"
said,1.731399828238082,"s, v"
most,1.7399999999999995,"a, r"
very,1.7399999999999995,"s, r"
much,1.7399999999999995,"a, n, r"
even,1.7501054362812265,"a, r, s, n, v"
here,1.7701183562535,"s, n, r"
right,1.7800051616715835,"a, r, s, n, v"
going,1.7999818449923366,"s, n, v"
off,1.810070439915412,"s, a, v, r"
made,1.819876673709276,"s, a, v"
still,1.819876673709276,"a, r, s, n, v"
many,1.8299094544059316,a
world,1.8501382787418117,"s, n"
great,1.8597582241045192,"s, n"
down,1.8597582241045192,"a, r, s, n, v"
through,1.8701817920206716,"s, r"
last,1.880261433802853,"a, r, s, n, v"
such,1.899893905543242,"s, r"
best,1.899893905543242,"a, r, s, n, v"
home,1.929767482004916,"a, r, s, n, v"
long,1.929767482004916,"s, a, v, r"
used,1.9399706407558652,"s, a, v"
same,1.9399706407558652,"s, a, n"
both,1.949714835966758,s
every,1.949714835966758,s
three,1.9596826878598483,"s, n"
better,1.9803321553103697,"a, r, s, n, v"
old,1.9902636844309385,"s, a, n"
little,1.9902636844309385,"s, a, n, r"
high,1.9902636844309385,"s, a, n, r"
another,1.999637310505756,s
own,1.999637310505756,"s, v"
under,2.0100257143004443,"s, r"
game,2.0198406965940423,"s, n, v"
next,2.0401622741327543,"s, r"
each,2.0498039199714864,"s, r"
must,2.0596644865854365,"s, n"
found,2.0596644865854365,"a, n, v"
big,2.0697541469258756,"s, a, r"
sure,2.0697541469258756,"s, a, r"
free,2.109572124974976,"a, r, s, n, v"
second,2.109572124974976,"a, r, s, n, v"
away,2.119863945026242,"s, a, r"
left,2.119863945026242,"a, r, s, n, v"
real,2.1401169279263117,"s, a, n, r"
few,2.1401169279263117,"a, n"
different,2.150050398674292,"s, a"
set,2.150050398674292,"s, n, v"
done,2.160216403383189,"s, v"
public,2.169457060118102,"s, a, n"
looking,2.169457060118102,"s, n, v"
top,2.169457060118102,"a, n, v"
enough,2.199670525209126,"s, n, r"
full,2.199670525209126,"a, r, s, n, v"
live,2.199670525209126,"s, a, v, r"
mean,2.2098003017969177,"s, n, v"
four,2.2098003017969177,"s, n"
hard,2.2098003017969177,"s, a, r"
bad,2.2098003017969177,"s, a, n, r"
based,2.2294549897933873,"s, v"
white,2.2294549897933873,"s, a, n, v"
small,2.2294549897933873,"s, a, n, r"
national,2.2294549897933873,"s, a, n"
far,2.240312917381596,"s, a, n, r"
side,2.240312917381596,"a, n, v"
american,2.2500415205751647,"a, n"
less,2.2500415205751647,"s, a, r"
later,2.2500415205751647,"s, a, r"
open,2.2599930570428493,"s, a, n, v"
united,2.270177984021836,"s, a, v"
general,2.270177984021836,"s, a, n, v"
trying,2.270177984021836,"s, v"
together,2.2806075122407687,"s, r"
black,2.2806075122407687,"s, a, n, v"
whole,2.2806075122407687,"s, a, n, r"
d,2.2806075122407687,"s, n"
following,2.2806075122407687,"s, a, n, v"
working,2.2897508916806384,"s, n, v"
five,2.2897508916806384,"s, n"
kind,2.2897508916806384,"s, a, n"
important,2.3006673061697365,"s, a"
least,2.3006673061697365,"a, n, r"
early,2.3102477199975917,"s, a, r"
able,2.3102477199975917,"s, a"
local,2.3102477199975917,"a, n"
young,2.3102477199975917,"s, a, n"
ago,2.320044251510242,"s, r"
social,2.320044251510242,"s, a, n"
single,2.330066876668705,"s, a, n, v"
given,2.330066876668705,"s, n, v"
half,2.330066876668705,"s, a, n, r"
level,2.330066876668705,"s, n, v"
true,2.340326278518962,"a, r, s, n, v"
