word,score,postags
the,0.0100257143004443,
to,0.31024771999759193,
and,0.3300668766687054,
of,0.3403262785189616,
a,0.38016451766011183,n
in,0.4704870557820835,"s, n, r"
i,0.6500948885606022,"s, n"
is,0.6718141382538381,v
that,0.731399828238082,
for,0.731399828238082,
you,0.7599966284162536,
it,0.7901222959631247,n
on,0.8299094544059316,"a, r"
with,0.8899667423102311,
was,0.9197985405143594,"n, v"
this,0.9197985405143594,
be,0.949714835966758,"n, v"
as,0.9698847052128985,"n, r"
are,0.9996373105057559,"n, v"
have,1.0298826348881838,"n, v"
at,1.040162274132754,n
he,1.0498039199714861,n
not,1.0498039199714861,r
by,1.0800837999301496,r
from,1.109572124974976,
but,1.109572124974976,r
my,1.1694570601181022,
we,1.199670525209126,
or,1.199670525209126,n
your,1.2098003017969174,
an,1.2098003017969174,n
so,1.2201720062242811,"n, r"
all,1.2201720062242811,"s, a, r"
his,1.2294549897933875,
they,1.240312917381596,
me,1.259993057042849,n
if,1.2701779840218366,
one,1.2701779840218366,"s, n"
can,1.280607512240769,"n, v"
will,1.2897508916806386,"n, v"
just,1.310247719997592,"s, a, r"
like,1.3300668766687054,"s, a, n, v"
about,1.3403262785189616,"s, r"
up,1.3508339156354674,"s, a, v, r"
what,1.3597887582883936,
out,1.3597887582883936,"a, r, s, n, v"
when,1.370784142589857,
more,1.3801645176601116,"a, n, r"
do,1.3897519816658372,"n, v"
no,1.3897519816658372,"a, n, r"
were,1.3995558851598815,v
who,1.3995558851598815,n
their,1.4095862266508086,
had,1.4095862266508086,v
there,1.4303698325741008,"n, r"
which,1.4389700043360183,
her,1.4389700043360183,
time,1.4499653886374817,"n, v"
get,1.4589666327522723,"n, v"
been,1.4704870557820835,v
would,1.4704870557820835,
she,1.4799286120149253,
people,1.489579997691106,"n, v"
new,1.489579997691106,"s, a, r"
how,1.4994507517174,
some,1.5413429130455774,"s, a, r"
them,1.5496683018297082,
also,1.5496683018297082,r
now,1.5610230527068303,"n, r"
other,1.5786319977650252,"s, a"
its,1.600120913598763,n
our,1.600120913598763,
than,1.6096662315049934,
good,1.6194260687941495,"s, a, n, r"
only,1.6194260687941495,"s, r"
into,1.6294102897007507,
after,1.6294102897007507,"s, r"
first,1.6294102897007507,"s, a, n, r"
him,1.6294102897007507,
two,1.639629454882437,"s, n"
know,1.639629454882437,"n, v"
see,1.639629454882437,"n, v"
think,1.6608187539523749,"n, v"
make,1.6608187539523749,"n, v"
over,1.6608187539523749,"s, n, r"
any,1.6718141382538383,"s, r"
then,1.6718141382538383,"s, n, r"
could,1.6793021596463882,
back,1.6986073148417746,"a, r, s, n, v"
these,1.6986073148417746,
us,1.6986073148417746,n
want,1.6986073148417746,"n, v"
well,1.7106162223147898,"a, r, s, n, v"
go,1.7106162223147898,"a, n, v"
because,1.7106162223147898,
said,1.731399828238082,"s, v"
way,1.731399828238082,"n, r"
most,1.7399999999999995,"a, r"
very,1.7399999999999995,"s, r"
much,1.7399999999999995,"a, n, r"
where,1.7399999999999995,
even,1.7501054362812265,"a, r, s, n, v"
should,1.7501054362812265,
may,1.7599966284162536,n
need,1.7701183562535,"n, v"
here,1.7701183562535,"s, n, r"
really,1.7701183562535,r
did,1.7800051616715835,v
right,1.7800051616715835,"a, r, s, n, v"
work,1.7800051616715835,"n, v"
year,1.7800051616715835,n
being,1.7901222959631247,"n, v"
too,1.7901222959631247,r
day,1.7901222959631247,n
going,1.7999818449923366,"s, n, v"
why,1.810070439915412,n
before,1.810070439915412,r
off,1.810070439915412,"s, a, v, r"
made,1.819876673709276,"s, a, v"
take,1.819876673709276,"n, v"
still,1.819876673709276,"a, r, s, n, v"
never,1.8299094544059316,r
many,1.8299094544059316,a
got,1.8299094544059316,v
those,1.8401794975729036,
say,1.8501382787418115,"n, v"
life,1.8501382787418115,n
world,1.8501382787418115,"s, n"
great,1.8597582241045194,"s, n"
down,1.8597582241045194,"a, r, s, n, v"
through,1.8701817920206716,"s, r"
last,1.880261433802853,"a, r, s, n, v"
while,1.880261433802853,n
s,1.880261433802853,n
such,1.899893905543242,"s, r"
best,1.899893905543242,"a, r, s, n, v"
man,1.9197985405143594,"n, v"
love,1.9197985405143594,"n, v"
something,1.9297674820049158,
home,1.9297674820049158,"a, r, s, n, v"
look,1.9297674820049158,"n, v"
long,1.9297674820049158,"s, a, v, r"
use,1.9297674820049158,"n, v"
used,1.9399706407558652,"s, a, v"
same,1.9399706407558652,"s, a, n"
both,1.949714835966758,s
every,1.949714835966758,s
part,1.9596826878598483,"r, n, v"
state,1.9596826878598483,"n, v"
three,1.9596826878598483,"s, n"
come,1.9596826878598483,"n, v"
am,1.9596826878598483,"n, v"
between,1.969884705212898,r
around,1.969884705212898,r
better,1.9803321553103694,"a, r, s, n, v"
find,1.9803321553103694,"n, v"
always,1.9803321553103694,r
old,1.9902636844309385,"s, a, n"
little,1.9902636844309385,"s, a, n, r"
since,1.9902636844309385,
high,1.9902636844309385,"s, a, n, r"
help,1.9902636844309385,"n, v"
another,1.9996373105057559,s
own,1.9996373105057559,"s, v"
does,1.9996373105057559,"n, v"
