word,score,postags
a,0.3801645176601118,n
in,0.4704870557820835,"s, n, r"
i,0.6500948885606022,"s, n"
it,0.7901222959631247,n
was,0.9197985405143594,"n, v"
be,0.949714835966758,"n, v"
as,0.9698847052128984,"n, r"
are,0.999637310505756,"n, v"
have,1.0298826348881838,"n, v"
at,1.040162274132754,n
he,1.049803919971486,n
or,1.199670525209126,n
an,1.2098003017969174,n
so,1.2201720062242811,"n, r"
me,1.259993057042849,n
one,1.2701779840218366,"s, n"
can,1.280607512240769,"n, v"
will,1.2897508916806386,"n, v"
like,1.3300668766687054,"s, a, n, v"
out,1.3597887582883936,"a, r, s, n, v"
more,1.3801645176601116,"a, n, r"
do,1.3897519816658372,"n, v"
no,1.3897519816658372,"a, n, r"
who,1.3995558851598815,n
there,1.4303698325741008,"n, r"
time,1.4499653886374817,"n, v"
get,1.4589666327522723,"n, v"
people,1.489579997691106,"n, v"
now,1.5610230527068305,"n, r"
its,1.600120913598763,n
good,1.6194260687941495,"s, a, n, r"
first,1.6294102897007507,"s, a, n, r"
two,1.639629454882437,"s, n"
know,1.639629454882437,"n, v"
see,1.639629454882437,"n, v"
think,1.6608187539523749,"n, v"
make,1.6608187539523749,"n, v"
over,1.6608187539523749,"s, n, r"
then,1.6718141382538385,"s, n, r"
back,1.6986073148417746,"a, r, s, n, v"
us,1.6986073148417746,n
want,1.6986073148417746,"n, v"
well,1.7106162223147898,"a, r, s, n, v"
go,1.7106162223147898,"a, n, v"
way,1.731399828238082,"n, r"
much,1.7399999999999995,"a, n, r"
even,1.7501054362812265,"a, r, s, n, v"
may,1.7599966284162536,n
need,1.7701183562535,"n, v"
here,1.7701183562535,"s, n, r"
right,1.7800051616715835,"a, r, s, n, v"
work,1.7800051616715835,"n, v"
year,1.7800051616715835,n
being,1.7901222959631249,"n, v"
day,1.7901222959631249,n
going,1.7999818449923366,"s, n, v"
why,1.810070439915412,n
take,1.819876673709276,"n, v"
still,1.819876673709276,"a, r, s, n, v"
say,1.8501382787418117,"n, v"
life,1.8501382787418117,n
world,1.8501382787418117,"s, n"
great,1.8597582241045192,"s, n"
down,1.8597582241045192,"a, r, s, n, v"
last,1.880261433802853,"a, r, s, n, v"
while,1.880261433802853,n
s,1.880261433802853,n
best,1.899893905543242,"a, r, s, n, v"
man,1.9197985405143592,"n, v"
love,1.9197985405143592,"n, v"
home,1.929767482004916,"a, r, s, n, v"
look,1.929767482004916,"n, v"
use,1.929767482004916,"n, v"
same,1.9399706407558652,"s, a, n"
part,1.9596826878598483,"r, n, v"
state,1.9596826878598483,"n, v"
three,1.9596826878598483,"s, n"
come,1.9596826878598483,"n, v"
am,1.9596826878598483,"n, v"
better,1.9803321553103697,"a, r, s, n, v"
find,1.9803321553103697,"n, v"
old,1.9902636844309385,"s, a, n"
little,1.9902636844309385,"s, a, n, r"
high,1.9902636844309385,"s, a, n, r"
help,1.9902636844309385,"n, v"
does,1.999637310505756,"n, v"
thing,2.0198406965940423,n
game,2.0198406965940423,"s, n, v"
place,2.0298826348881835,"n, v"
house,2.0298826348881835,"n, v"
school,2.0298826348881835,"n, v"
give,2.0298826348881835,"n, v"
mr,2.0498039199714864,n
must,2.0596644865854365,"s, n"
show,2.0596644865854365,"n, v"
end,2.0596644865854365,"n, v"
found,2.0596644865854365,"a, n, v"
feel,2.0697541469258756,"n, v"
team,2.0697541469258756,"n, v"
might,2.08008379993015,n
family,2.08008379993015,n
put,2.08008379993015,"n, v"
keep,2.08008379993015,"n, v"
money,2.0995185630295774,n
someone,2.109572124974976,n
free,2.109572124974976,"a, r, s, n, v"
second,2.109572124974976,"a, r, s, n, v"
number,2.119863945026242,"n, v"
left,2.119863945026242,"a, r, s, n, v"
name,2.13040559077478,"n, v"
play,2.13040559077478,"n, v"
lot,2.13040559077478,"n, v"
city,2.13040559077478,n
days,2.13040559077478,n
night,2.13040559077478,n
let,2.1401169279263117,"n, v"
real,2.1401169279263117,"s, a, n, r"
few,2.1401169279263117,"a, n"
company,2.1401169279263117,"n, v"
thought,2.150050398674292,"n, v"
set,2.150050398674292,"s, n, v"
government,2.169457060118102,n
god,2.169457060118102,n
getting,2.169457060118102,"n, v"
public,2.169457060118102,"s, a, n"
looking,2.169457060118102,"s, n, v"
top,2.169457060118102,"a, n, v"
group,2.169457060118102,"n, v"
system,2.180093374963887,n
week,2.180093374963887,n
start,2.180093374963887,"n, v"
times,2.180093374963887,"n, v"
care,2.180093374963887,"n, v"
business,2.180093374963887,n
today,2.189771646944906,"n, r"
person,2.189771646944906,n
nothing,2.189771646944906,"n, r"
case,2.189771646944906,"n, v"
read,2.199670525209126,"n, v"
change,2.199670525209126,"n, v"
enough,2.199670525209126,"s, n, r"
full,2.199670525209126,"a, r, s, n, v"
making,2.199670525209126,"n, v"
point,2.199670525209126,"n, v"
support,2.2098003017969177,"n, v"
mean,2.2098003017969177,"s, n, v"
tell,2.2098003017969177,"n, v"
four,2.2098003017969177,"s, n"
bad,2.2098003017969177,"s, a, n, r"
power,2.2201720062242805,"n, v"
water,2.2201720062242805,"n, v"
stop,2.2201720062242805,"n, v"
music,2.2201720062242805,n
