word,score,postags
is,0.6718141382538381,v
was,0.9197985405143594,"n, v"
be,0.949714835966758,"n, v"
are,0.999637310505756,"n, v"
have,1.0298826348881838,"n, v"
can,1.280607512240769,"n, v"
will,1.2897508916806386,"n, v"
like,1.3300668766687054,"s, a, n, v"
up,1.3508339156354674,"s, a, v, r"
out,1.3597887582883936,"a, r, s, n, v"
do,1.3897519816658372,"n, v"
were,1.3995558851598815,v
had,1.4095862266508086,v
time,1.4499653886374817,"n, v"
get,1.4589666327522723,"n, v"
been,1.4704870557820835,v
people,1.489579997691106,"n, v"
know,1.639629454882437,"n, v"
see,1.639629454882437,"n, v"
think,1.6608187539523749,"n, v"
make,1.6608187539523749,"n, v"
back,1.6986073148417746,"a, r, s, n, v"
want,1.6986073148417746,"n, v"
well,1.7106162223147898,"a, r, s, n, v"
go,1.7106162223147898,"a, n, v"
said,1.731399828238082,"s, v"
even,1.7501054362812265,"a, r, s, n, v"
need,1.7701183562535,"n, v"
did,1.7800051616715835,v
right,1.7800051616715835,"a, r, s, n, v"
work,1.7800051616715835,"n, v"
being,1.7901222959631249,"n, v"
going,1.7999818449923366,"s, n, v"
off,1.810070439915412,"s, a, v, r"
made,1.819876673709276,"s, a, v"
take,1.819876673709276,"n, v"
still,1.819876673709276,"a, r, s, n, v"
got,1.8299094544059316,v
say,1.8501382787418117,"n, v"
down,1.8597582241045192,"a, r, s, n, v"
last,1.880261433802853,"a, r, s, n, v"
best,1.899893905543242,"a, r, s, n, v"
man,1.9197985405143592,"n, v"
love,1.9197985405143592,"n, v"
home,1.929767482004916,"a, r, s, n, v"
look,1.929767482004916,"n, v"
long,1.929767482004916,"s, a, v, r"
use,1.929767482004916,"n, v"
used,1.9399706407558652,"s, a, v"
part,1.9596826878598483,"r, n, v"
state,1.9596826878598483,"n, v"
come,1.9596826878598483,"n, v"
am,1.9596826878598483,"n, v"
better,1.9803321553103697,"a, r, s, n, v"
find,1.9803321553103697,"n, v"
help,1.9902636844309385,"n, v"
own,1.999637310505756,"s, v"
does,1.999637310505756,"n, v"
game,2.0198406965940423,"s, n, v"
place,2.0298826348881835,"n, v"
house,2.0298826348881835,"n, v"
school,2.0298826348881835,"n, v"
give,2.0298826348881835,"n, v"
show,2.0596644865854365,"n, v"
end,2.0596644865854365,"n, v"
found,2.0596644865854365,"a, n, v"
feel,2.0697541469258756,"n, v"
team,2.0697541469258756,"n, v"
put,2.08008379993015,"n, v"
keep,2.08008379993015,"n, v"
please,2.08008379993015,"v, r"
free,2.109572124974976,"a, r, s, n, v"
second,2.109572124974976,"a, r, s, n, v"
number,2.119863945026242,"n, v"
left,2.119863945026242,"a, r, s, n, v"
name,2.13040559077478,"n, v"
play,2.13040559077478,"n, v"
lot,2.13040559077478,"n, v"
doing,2.1401169279263117,v
let,2.1401169279263117,"n, v"
company,2.1401169279263117,"n, v"
thought,2.150050398674292,"n, v"
set,2.150050398674292,"s, n, v"
done,2.160216403383189,"s, v"
getting,2.169457060118102,"n, v"
looking,2.169457060118102,"s, n, v"
top,2.169457060118102,"a, n, v"
group,2.169457060118102,"n, v"
start,2.180093374963887,"n, v"
times,2.180093374963887,"n, v"
care,2.180093374963887,"n, v"
case,2.189771646944906,"n, v"
read,2.199670525209126,"n, v"
change,2.199670525209126,"n, v"
full,2.199670525209126,"a, r, s, n, v"
live,2.199670525209126,"s, a, v, r"
making,2.199670525209126,"n, v"
point,2.199670525209126,"n, v"
told,2.199670525209126,v
support,2.2098003017969177,"n, v"
mean,2.2098003017969177,"s, n, v"
tell,2.2098003017969177,"n, v"
power,2.2201720062242805,"n, v"
water,2.2201720062242805,"n, v"
stop,2.2201720062242805,"n, v"
seen,2.2201720062242805,v
took,2.2294549897933873,v
call,2.2294549897933873,"n, v"
head,2.2294549897933873,"n, v"
